contestant,target,time,comment,context,episode arc,grouping,place
RuPaul,,,"""Oh, and ladies... one more thing. Don't call us. We'll call you. That's all.""",,,,
,,,"""Ladies! You represent the best and the worst of the week. It's time for the judge's critiques.""",,,,
,,,"""First up, Roxxxy Andrews.""",,,,
Michelle Visage,,,"""Out of all the dresses, this is the one that I would be wearing.""",,,,
Camille Grammar,,,"""Absolutely gorgeous. Everything you've done is just perfect to your curves, and you revealed enough skin to keep it classy.""",,,,
,,,"""Look at that!""",,,,
,,,"""You just want to show your ass.""",,,,
,,,"""I dunno if you guys noticed, but when I showed you my shoes, they're RuPaul shoes.""",,,,
,,,"""I noticed.""",,,,
,,,"""And I found them in the dumpster.""",,,,
Michelle and Ru,,,"""What?!""",,,,
RuPaul,,,"""Who would throw those away?!""",,,,
,,,"""I don't know.""",,,,
,,,"""Thank you, Roxxxy.""",,,,
,,,"""Next up, Ivy Winters!""",,,,
,,,"""This dress is absolutely gorgeous. You sewed this entire thing?""",,,,
,,,"""I did. I hand-stitched it completely.""",,,,
Santino Rice,,,"""I'm looking at you and it's like where's the trash? You kind of have to bring in some unconventional material into this challenge.""",,,,
,,,"""Thank you, Ivy Winters. Next up, Jade Jolie!""",,,,
,,,"""Hey Ru, hey!""",,,,
Mike Ruiz,,,"""You have the sweetest, softest voice.""",,,,
RuPaul,,,"""You never said that to me, Mike.""",,,,
Santino Rice,,,"""I'm wanting to like pull these things off of you just so I can see more of who's underneath there. There's too many details all crying out for my attention.""",,,,
Jade Jolie,,,"""This is very much my personality, kinda like taste the rainbow kind of girl.""",,,,
RuPaul,,,"""What does the rainbow taste like?""",,,,
Michelle Visage,,,"""Butterflies and unicorns?""",,,,
Jade Jolie,,,"""Yeah, Lisa Frank and all that good stuff.""",,,,
,,,"""Oh, I love it! You are just a cute little thing, aren't you?""",,,,
,,,"""You're just a cute little thing.""",,,,
,,,"""Eat you up in one bite.""",,,,
,,,"""Alright, thank you Jade Jolie. Next up, Penny Tration!""",,,,
,,,"""What do you got to say for yourself?""",,,,
,,,"""I'm just so glad to be here. There's a lot to see. Take a look.""",,,,
Santino Rice,,,"""I think with the dress, it starts to fall apart after the bust line. The left and the right look like different shapes.""",,,,
Camille Grammar,,,"""I just think if you took this front slit and made it into a side slit, I think it would've been just more flattering.""",,,,
Michelle Visage,,,"""One thing I notice is your shading is very dark. Black, dare I say.""",,,,
Santino Rice,,,"""The black on the side looks like a sideburn, almost.""",,,,
RuPaul,,,"""Next up, Alaska.""",,,,
Alaska,,,"""Hi.""",,,,
RuPaul,,,"""Hi.""",,,,
RuPaul,,,"""Now, did you have any difficulty putting this outfit together?""",,,,
Alaska,,,"""Getting it on my body, I don't have a zipper... you can't really sew into plastic.""",,,,
Santino Rice,,,"""You know, the thing is, you can take something that costs nothing and turn it into something that looks like a million dollars. And you really did it tonight.""",,,,
Alaska,,,"""Thank you.""",,,,
Michelle Visage,,,"""Why no earrings?""",,,,
Alaska,,,"""I lost them in the dumpster.""",,,,
Camille Grammar,,,"""I like the way you have accessorized it. I don't think you need anything more, 'cause you've got a lot of shimmer going on because of the plastic Saran Wrap.""",,,,
RuPaul,,,"""Next up, Lineysha Sparx.""",,,,
Lineysha Sparx,,,"""Puerto Rico in the house.""",,,,
Michelle Visage,,,"""Que bella. This is really elegant. What is that?""",,,,
RuPaul,,,"""It's wallpaper, actually.""",,,,
Michelle Visage,,,"""Is it really?""",,,,
,,,"""Yes""",,,,
Michelle Visage,,,"""I mean, really impressed because that is not an easy thing to work with. And you made it look really couture.""",,,,
Santino Rice,,,"""I love the shoe as well in your hair.""",,,,
RuPaul,,,"""Yes. Repurposed. That's really using your head.""",,,,
Camille Grammar,,,"""I love the way you've created this piece.""",,,,
Lineysha Sparx,,,"""This is because if I need to do the lip synch, I can do it like this. Lalala.""",,,,
RuPaul,,,"""Thank you Lineysha. Serena ChaCha!""",,,,
Serena ChaCha,,,"""Hola.""",,,,
Michelle Visage,,,"""I had a little bit of an issue with what you're wearing, I'm not gonna lie.""",,,,
Michelle Visage,,,"""The shape is all wrong for you, you're gonna get lost in it. And then what's exposed just looks like boy.""",,,,
Santino Rice,,52:18:00,"""It looks like you've done your makeup in a lighter shade than your body. And it almost looks like if you pulled the head off of one doll and, like, put it onto the body of, like, a G.I. Joe figure. And this collar really adds this big weight around your neck that separates your head from your body.""",,,,
RuPaul,,,"""Can I see it without the neck thing?""",,,,
Camille Grammar,,,"""It looks so much prettier.""",,,,
Serena ChaCha,,,"""I just wanna say I'm open to all of the criticism, and I'm making sure to put it to the next challenge, whatever it may be.""",,,,
RuPaul,,,"""Alright, well, thank you. Well, ladies, I think we've heard enough. While you enjoy an Absolut cocktail in the Interior Illusions Lounge, the judges and I will deliberate. You may leave the stage.""",,,,
RuPaul,,,"""Alright kids. Just between us ""goils..."" let's start with... Roxxxy Andrews.""",,,,
Santino Rice,,,"""Roxxxy had a very convincing red carpet couture look and a great blend of fabrics and unconventional materials.""",,,,
Camille Grammar,,,"""She combined goth with glam and I thought she looked great.""",,,,
Michelle Visage,,,"""Completely thought out. Like, she knows what her shape is all about.""",,,,
RuPaul,,,"""I do have a con with Roxxxy Andrews. I wanted to see more ass.""",,,,
Michelle Visage,,,"""Hahahaha""",,,,
,,,"""Ivy Winters!""",,,,
,,,"""I mean, the dress was beautiful. But I really couldn't stop looking at her hair. I just didn't like it, 'cause this dress was so 'elogent'.""",,,,
,,,"""You real 'eloguent'.""",,,,
,,,"""That's my new word!""",,,,
,,,"""You speak 'eloguent'.""",,,,
,,,"""Eloguent.""",,,,
Mike Ruiz,,,"""Talk about couture--I mean, she hand-stitched that dress.""",,,,
Santino Rice,,,"""As beautiful as that dress was, where's the trash? I didn't get that same kind of feeling when I look at Alaska, or Lineysha.""",,,,
Michelle Visage,,,"""Lineysha was 'eloguent'.""",,,,
RuPaul,,,"""Alright, let's move on to Jade Jolie. My goodness, Jade Jolie. She had a lot on.""",,,,
Santino Rice,,,"""I can't really tell where her taste level is because--""",,,,
RuPaul,,,"""I think you can. I think you can.""",,,,
Mike Ruiz,,,"""She has a very fantastical sort of outlook on life about rainbows and unicorns and all. But, I just don't think it was very well-executed.""",,,,
RuPaul,,,"""Let's talk about Penny. Tration.""",,,,
Michelle Visage,,,"""She came out with a great attitude. I get the whole Mae West kinda, 'come up and see me sometime' thing going on. But then you kinda scroll down a little bit.""",,,,
Mike Ruiz,,,"""The padding was asymmetrical. It looked like she had a tilted pelvis. Somebody call the osteopath or something.""",,,,
Santino Rice,,,"""Make a silhouette and perfect it. Is that too much to ask?""",,,,
RuPaul,,,"""Hello. It is not. You could be a big girl, make those proportions work for you and actually look couture. And she didn't.""",,,,
Camille Grammar,,,"""Yeah, but it was the makeup for me. It was just awful.""",,,,
Michelle Visage,,,"""That was probably the best part, Camille.""",,,,
RuPaul,,,"""Alright, let's head on to the 49th state, Alaska.""",,,,
Mike Ruiz,,,"""I wasn't really expecting much from Alaska, based on her performance in the photoshoot, but a little Saran Wrap went a long way tonight. The only thing is, it should've had a little slit, 'cause she had a little difficulty walking tonight.""",,,,
Michelle Visage,,,"""My one thing was, I would've loved to have seen some sparkling earrings up on that.""",,,,
RuPaul,,,"""Well, Michelle, Alaska's not from New Jersey.""",,,,
Michelle Visage,,,"""Hahahaha""",,,,
RuPaul,,,"""Alright, let's move on to Lineysha Sparx.""",,,,
,,,"""What a gorgeous face on this one.""",,,,
,,,"""Yes.""",,,,
,,,"""The gown was absolutely gorgeous.""",,,,
,,,"""And when we found out that it was actually wallpaper, I was even more impressed.""",,,,
,,,"""And to put a shoe, a pump, in her hair, I thought that was really fun and whimsical.""",,,,
,,,"""You're right, and it could've very easily been a disaster.""",,,,
Michelle Visage,,,"""But all in all, she's what we call a TP.""",,,,
RuPaul,,,"""A total package, that's right.""",,,,
RuPaul,,,"""Let's talk ChaCha, as in Serena ChaCha.""",,,,
Michelle Visage,,,"""Oh God, she was literally drag Pinocchio. It was lederhosen. It was really like I was waiting for yodeling. It was really just a mess.""",,,,
Santino Rice,,,"""She was showing so much of this like, oiled-up chest.""",,,,
Camille Grammar,,,"""And it was like a little boy with a costume on.""",,,,
,,,"""I think that she has to start thinking about her tiny little body and the way she's gonna execute her fashions.""",,,,
,,,"""Well, she executed this fashion.""",,,,
,,,"""She sure did.""",,,,
,,,"""Silence! I've made my decision. Bring back my girls.""",,,,
,,,"""Welcome back, ladies. I've made some decisions.""",,,,
,,,"""Ivy Winters. Your red gown looked like it was ripped from the pages of Vogue. You're safe.""",,,,
,,,"""Alaska. You had this challenge in the bag. You're safe.""",,,,
,,,"""Thank you.""",,,,
,,,"""Roxxxy Andrews. You dove deep into the dumpsters of Beverly Hills and made rubbish look ravishing. Condragulations. You're the winner of this challenge.""",,,,
,,,"""You receive a custom gown by Marco Marco, plus immunity from elimination next week.""",,,,
,,,"""Are you kidding me right now, 'cause I'm on cloud nine. Suck that ahhh!""",,,,confessional
,,,"""Thank you for believing in me.""",,,,
,,,"""You may join the other girls.""",,,,
,,,"""Lineysha Sparx, you lit up the runway in classic Hollywood glamour. You're safe."" ",,,,
,,,"""I thought that I was gonna win. But, whatever.""",,,,confessional
,,,"""Serena ChaCha. On the runway, you move like Jagger, but your red carpet look was 'coutorture'. I'm sorry my dear, but you are up for elimination."" ",,,,
,,,"""Oh crap. You really messed up. I do not wanna be the first one sent home. This cannot fucking happen at this point.""",,,,confessional
,,,"""Penny Tration. We love your dangerous curves, but your red carpet couture veered off in the wrong direction.""",,,,
,,,"""Jade Jolie. You didn't wear your dress. It wore you. But still, your personality shined through. Jade Jolie... you're safe.""",,,,
,,,"""Thank you guys so much.""",,,,
,,,"""Wait, hold up, mama. May I gve you a word of advice?""",,,,
,,,"""Yes.""",,,,
,,,"""Edit.""",,,,
,,,"""Edit.""",,,,
,,,"""That's right.""",,,,
,,,"""Thank you so much.""",,,,
,,,"""Penny Tration. I'm sorry my dear, but you are up for elimination."" ",,,,
,,,"""I'm disappointed because there are a lot of people who wanted me to be here. And I'm letting them down.""",,,,
,,,"""Two queens stand before me. Ladies, this is your last chance to impress me and save yourself from elimination.""",,,,
,,,"""The time has come to lip synch for your life.""",,,,
